name,lat,lon,blocked
KL Sentral,3.1344,101.6865,False
KLCC,3.159,101.7135,False
Bukit Bintang,3.1462,101.7113,False
Pasar Seni,3.1427,101.6955,False
Masjid Jamek,3.1497,101.6963,False
Ampang Park,3.1598,101.718,False
Merdeka,3.1423,101.7018,False
Chinatown,3.1439,101.6975,False
Muzium Negara,3.1375,101.6874,False
Pudu,3.1362,101.713,False
KL Tower,3.1528,101.7038,False
Titiwangsa,3.1768,101.7042,False
Sunway Putra,3.165,101.6938,False
Brickfields,3.1305,101.685,False
Bangsar,3.1293,101.6743,False
Mid Valley,3.1185,101.6766,False
Damansara,3.1466,101.6619,False
Mont Kiara,3.1666,101.6528,False
Batu Caves,3.2379,101.6813,False
The Intermark,3.1615,101.7195,False
Pavilion,3.1488,101.7135,False
Perdana Botanical,3.1428,101.683,False
Istana Negara,3.1342,101.6616,False
Bangsar South,3.1116,101.6644,False
Minden,3.155,101.65,False
Solaris,3.172,101.659,False
Publika,3.1712,101.666,False
Titiwangsa Lake,3.1768,101.7042,False
Royal Selangor Golf,3.145,101.723,False
Bukit Damansara,3.1485,101.656,False
